DEBUG   2019-11-17 19:40:44,756 [http-nio-8080-exec-2] com.netreaders.dao.genres.GenreDaoImpl  - Find 1 genre(s) by bookID '2'
DEBUG   2019-11-17 19:40:44,757 [http-nio-8080-exec-2] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '2'
DEBUG   2019-11-17 19:46:41,353 [http-nio-8080-exec-8] com.netreaders.dao.book.BookDaoImpl  - Find 1 book(s) by authorID '1'
DEBUG   2019-11-17 19:46:41,369 [http-nio-8080-exec-8] com.netreaders.dao.genres.GenreDaoImpl  - Find 1 genre(s) by bookID '2'
DEBUG   2019-11-17 19:46:41,378 [http-nio-8080-exec-8] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '2'
DEBUG   2019-11-17 19:47:22,875 [http-nio-8080-exec-5] com.netreaders.dao.book.BookDaoImpl  - Find 1 book(s) by authorID '1'
DEBUG   2019-11-17 19:47:22,877 [http-nio-8080-exec-5] com.netreaders.dao.genres.GenreDaoImpl  - Find 1 genre(s) by bookID '2'
DEBUG   2019-11-17 19:47:22,878 [http-nio-8080-exec-5] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '2'
DEBUG   2019-11-17 19:47:26,257 [http-nio-8080-exec-8] com.netreaders.dao.book.BookDaoImpl  - Find 1 book(s) by authorID '1'
DEBUG   2019-11-17 19:47:26,258 [http-nio-8080-exec-8] com.netreaders.dao.genres.GenreDaoImpl  - Find 1 genre(s) by bookID '2'
DEBUG   2019-11-17 19:47:26,259 [http-nio-8080-exec-8] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '2'
DEBUG   2019-11-17 19:47:38,092 [http-nio-8080-exec-2] com.netreaders.dao.book.BookDaoImpl  - Find 1 book(s) by authorID '1'
DEBUG   2019-11-17 19:47:38,108 [http-nio-8080-exec-2] com.netreaders.dao.genres.GenreDaoImpl  - Find 1 genre(s) by bookID '2'
DEBUG   2019-11-17 19:47:38,118 [http-nio-8080-exec-2] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '2'
DEBUG   2019-11-17 20:04:44,614 [http-nio-8080-exec-8] com.netreaders.dao.book.BookDaoImpl  - Find 1 book(s) by authorID '2'
DEBUG   2019-11-17 20:04:44,629 [http-nio-8080-exec-8] com.netreaders.dao.genres.GenreDaoImpl  - Find 1 genre(s) by bookID '1'
DEBUG   2019-11-17 20:04:44,639 [http-nio-8080-exec-8] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '1'
DEBUG   2019-11-17 20:04:46,407 [http-nio-8080-exec-10] com.netreaders.dao.book.BookDaoImpl  - Find 1 book(s) by authorID '1'
DEBUG   2019-11-17 20:04:46,408 [http-nio-8080-exec-10] com.netreaders.dao.genres.GenreDaoImpl  - Find 1 genre(s) by bookID '2'
DEBUG   2019-11-17 20:04:46,410 [http-nio-8080-exec-10] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '2'
DEBUG   2019-11-17 20:20:39,760 [http-nio-8080-exec-7] com.netreaders.dao.book.BookDaoImpl  - Find 1 book(s) by authorID '1'
DEBUG   2019-11-17 20:20:39,774 [http-nio-8080-exec-7] com.netreaders.dao.genres.GenreDaoImpl  - Find 1 genre(s) by bookID '2'
DEBUG   2019-11-17 20:20:39,784 [http-nio-8080-exec-7] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '2'
DEBUG   2019-11-17 20:20:43,862 [http-nio-8080-exec-2] com.netreaders.dao.book.BookDaoImpl  - Find 1 book(s) by authorID '2'
DEBUG   2019-11-17 20:20:43,864 [http-nio-8080-exec-2] com.netreaders.dao.genres.GenreDaoImpl  - Find 1 genre(s) by bookID '1'
DEBUG   2019-11-17 20:20:43,865 [http-nio-8080-exec-2] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '1'
DEBUG   2019-11-17 20:20:46,679 [http-nio-8080-exec-6] com.netreaders.dao.book.BookDaoImpl  - Find 1 book(s) by authorID '5'
DEBUG   2019-11-17 20:20:46,680 [http-nio-8080-exec-6] com.netreaders.dao.genres.GenreDaoImpl  - Find 1 genre(s) by bookID '6'
DEBUG   2019-11-17 20:20:46,681 [http-nio-8080-exec-6] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '6'
